#
# Optical constants of organic refractory
# from Li & Greenberg (1997)
# extended to the hard X ray region by V.Z.
#
# wavelength         n - 1             k
#    um
#
1.45401000e-02  -3.85840000e-02  1.85452000e-03
1.47358000e-02  -3.98140000e-02  1.95109000e-03
1.49341000e-02  -4.10870000e-02  2.05367000e-03
1.51351000e-02  -4.24060000e-02  2.16238000e-03
1.53388000e-02  -4.37730000e-02  2.27763000e-03
1.55452000e-02  -4.51910000e-02  2.40007000e-03
1.57544000e-02  -4.66630000e-02  2.53040000e-03
1.59665000e-02  -4.81910000e-02  2.66946000e-03
1.61813000e-02  -4.97790000e-02  2.81813000e-03
1.63991000e-02  -5.14310000e-02  2.97732000e-03
1.66198000e-02  -5.31480000e-02  3.14799000e-03
1.68435000e-02  -5.49360000e-02  3.33121000e-03
1.70702000e-02  -5.67990000e-02  3.52816000e-03
1.72999000e-02  -5.87410000e-02  3.74026000e-03
1.75328000e-02  -6.07680000e-02  3.96924000e-03
1.77687000e-02  -6.28860000e-02  4.21709000e-03
1.80079000e-02  -6.51000000e-02  4.48607000e-03
1.82502000e-02  -6.74180000e-02  4.77879000e-03
1.84958000e-02  -6.98470000e-02  5.09849000e-03
1.87448000e-02  -7.23960000e-02  5.44891000e-03
1.89970000e-02  -7.50760000e-02  5.83443000e-03
1.92527000e-02  -7.78970000e-02  6.26028000e-03
1.95118000e-02  -8.08730000e-02  6.73339000e-03
1.97744000e-02  -8.40190000e-02  7.26224000e-03
2.00406000e-02  -8.73500000e-02  7.85698000e-03
2.03103000e-02  -9.08890000e-02  8.53067000e-03
2.05836000e-02  -9.46590000e-02  9.30156000e-03
2.08606000e-02  -9.86860000e-02  1.01928000e-02
2.11414000e-02  -1.03004000e-01  1.12338000e-02
2.14259000e-02  -1.07652000e-01  1.24665000e-02
2.17143000e-02  -1.12678000e-01  1.39508000e-02
2.20065000e-02  -1.18134000e-01  1.57669000e-02
2.23027000e-02  -1.24090000e-01  1.80322000e-02
2.26029000e-02  -1.30620000e-01  2.09459000e-02
2.29071000e-02  -1.37768000e-01  2.48123000e-02
2.32154000e-02  -1.45490000e-01  3.00915000e-02
2.35278000e-02  -1.53557000e-01  3.74389000e-02
2.38445000e-02  -1.61349000e-01  4.78322000e-02
2.41654000e-02  -1.66978000e-01  6.27148000e-02
2.44906000e-02  -1.65901000e-01  8.15607000e-02
2.48202000e-02  -1.54323000e-01  9.84545000e-02
2.51542000e-02  -1.35325000e-01  1.03339000e-01
2.54928000e-02  -1.21264000e-01  9.43306000e-02
2.58359000e-02  -1.18052000e-01  8.05493000e-02
2.61836000e-02  -1.23580000e-01  6.93496000e-02
2.65360000e-02  -1.33373000e-01  6.26208000e-02
2.68931000e-02  -1.45377000e-01  5.96757000e-02
2.72550000e-02  -1.58702000e-01  6.02739000e-02
2.76219000e-02  -1.72675000e-01  6.43270000e-02
2.79936000e-02  -1.86796000e-01  7.20143000e-02
2.83704000e-02  -2.00187000e-01  8.38366000e-02
2.87522000e-02  -2.11379000e-01  1.00057000e-01
2.91391000e-02  -2.18221000e-01  1.20494000e-01
2.95313000e-02  -2.17586000e-01  1.43073000e-01
2.99288000e-02  -2.08156000e-01  1.61972000e-01
3.03315000e-02  -1.95452000e-01  1.70272000e-01
3.07398000e-02  -1.88641000e-01  1.71066000e-01
3.11535000e-02  -1.89130000e-01  1.72909000e-01
3.15728000e-02  -1.91137000e-01  1.79935000e-01
3.19977000e-02  -1.90717000e-01  1.89538000e-01
